idx	variant	content_index	action	class	name	value
26	Cyno PK Lin (GUI Fit - all values normalized)	6	parameter	Km_tdb	Value	5.72
27	Human PK Lin (GUI Fit - all values normalized)	1	parameter	Cl_tdb	Value	5.4
27	Human PK Lin (GUI Fit - all values normalized)	2	parameter	Cld_tdb	Value	24.17
27	Human PK Lin (GUI Fit - all values normalized)	3	parameter	Vc_tdb	Value	36.78
27	Human PK Lin (GUI Fit - all values normalized)	4	parameter	Vp_tdb	Value	173.47
27	Human PK Lin (GUI Fit - all values normalized)	5	parameter	Vm_tdb	Value	0
27	Human PK Lin (GUI Fit - all values normalized)	6	parameter	Km_tdb	Value	5.72
27	Human PK Lin (GUI Fit - all values normalized)	7	parameter	kabs_TDB	Value	0
27	Human PK Lin (GUI Fit - all values normalized)	8	parameter	fbio_TDB	Value	0
28	Tumor compartment - DLBCL	1	parameter	tumor_on	Value	1
28	Tumor compartment - DLBCL	2	parameter	Vtumor	Value	100
28	Tumor compartment - DLBCL	3	parameter	KTrptumor	Value	100
28	Tumor compartment - DLBCL	4	parameter	KBptumor	Value	1600
28	Tumor compartment - DLBCL	5	parameter	Kptumor	Value	0.05
28	Tumor compartment - DLBCL	6	parameter	kBtumorprolif	Value	0.025
28	Tumor compartment - DLBCL	7	parameter	IL6_tiss_contribution	Value	0.0004
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	1	parameter	Cl_tdb	Value	5.4
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	5	parameter	Vm_tdb	Value	0
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.35
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	1	parameter	Cl_tdb	Value	5.4
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	2	parameter	Cld_tdb	Value	24.17
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	3	parameter	Vc_tdb	Value	36.78
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	4	parameter	Vp_tdb	Value	173.47
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	5	parameter	Vm_tdb	Value	0
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	6	parameter	Km_tdb	Value	5.72
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	7	parameter	kabs_TDB	Value	0.5
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	8	parameter	fbio_TDB	Value	0.8
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	1	parameter	Cl_tdb	Value	5.4
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	2	parameter	Cld_tdb	Value	24.17
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	3	parameter	Vc_tdb	Value	36.78
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	4	parameter	Vp_tdb	Value	173.47
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	5	parameter	Vm_tdb	Value	0
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	6	parameter	Km_tdb	Value	5.72
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	7	parameter	kabs_TDB	Value	0.2
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	8	parameter	fbio_TDB	Value	0.2
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	1	parameter	Cl_tdb	Value	5.4
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	5	parameter	Vm_tdb	Value	0
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.5
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	1	parameter	Bcell_tumor_trafficking_on	Value	5.4
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	5	parameter	Vm_tdb	Value	0
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.2
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5
34	Tumor B cell off	1	parameter	Bcell_tumor_trafficking_on	Value	0
35	chimp - blin	1	parameter	IL6_tiss_contribution	Value	0.0004
