weight_tumor,start_idx,eval,scalar_loss,tumor_loss,il6_loss,n_failed,doses_mg
0.05,1,118,0.053038047862897494,-0.10742483780346894,0.05577939860643322,0,"2.551091,10.853989,8.470911,17.36869,14.669592,13.144657"
0.05,1,119,0.05375980258638534,-0.1068479778021748,0.05653835110707761,0,"2.542228,10.810466,8.66567,17.315298,14.555595,13.211065"
0.05,1,120,0.008523859079221882,-0.10732575301876604,0.008969162802326958,0,"2.517409,11.498792,9.300976,17.014084,13.753351,12.576504"
0.05,1,121,-0.0052243355511729555,-0.10421731185354476,-0.008693782003199813,0,"2.501489,10.992835,8.837477,16.790195,14.641847,13.40086"
0.05,1,122,0.050741224456206685,-0.10379654270904434,0.05336391427871301,0,"2.51363,10.276003,9.054771,17.620363,14.579926,13.589754"
0.05,1,123,0.029518128562593435,-0.10627784313907579,0.031046261585520152,0,"2.540253,10.489186,8.884725,17.700204,13.754037,14.840037"
0.05,1,124,0.0457681579770691,-0.10648901343756967,0.04813447860322939,0,"2.5499,10.360295,9.19809,16.917728,14.908843,12.312249"
0.05,1,125,0.005887562703076049,-0.10439307683422265,0.006196732064690846,0,"2.50693,10.619747,9.530508,17.160584,13.817064,13.584308"
0.05,1,126,0.03756993962740029,-0.10836064412478319,0.039513494568175545,0,"2.542215,11.295693,9.190934,16.814503,13.3699,13.245009"
0.05,1,127,0.017176759508036706,-0.10639780567197533,0.018068331035617335,0,"2.503417,11.523201,9.04523,17.48273,12.528005,14.833437"
