sample_idx,btumor_auc,il6combo_auc,peak_il6combo,final_btumor,best_spd_pct
65,9.939920902616062e11,3.089065747514274e6,158079.242707482,5.131677984353579e7,-99.96327173558127
66,4.6410107052160164e10,1202.3256142009977,974.2948799513924,42381.91953819215,-99.9998939508655
67,4.4279711714917206e10,26.03993125548087,3.874206347163302,1.306014095488906e6,-99.99796666819579
68,7.479829789272809e11,39968.34607349126,1526.5421386143141,2.9037848002278614e6,-99.98261698220401
69,3.5049475194148065e11,9769.006227489355,1916.3215355090929,9.97371002931567e9,0.0
70,2.894427428403341e11,12411.677991474582,1235.0881970897842,3.807017770035352e7,-99.75185707819301
71,3.932864523213472e11,13955.60982507722,1723.1568055528205,1.2332282316802997e7,-99.9898938589765
72,4.885973682274516e7,853.627452122622,111.16447860857397,403785.8111305408,-99.83189617266892
73,1.8391082202372278e12,970.3802458817446,27.313343467927417,5.235753213895233e10,0.0
74,2.867934993433324e13,4698.530205040195,808.3185091423485,7.789034321954128e11,0.0
75,4.99192685162507e12,1557.5192078685618,511.9823748940244,1.397665779574457e11,0.0
76,1.474707779863179e12,1646.7072220351818,291.92003902532844,2.0041552819123633e7,-99.98529038168357
77,3.3759761150250977e11,222.49885342883243,70.93209946404338,136552.00480456577,-99.99978441966896
78,9.248586146185295e11,5924.347006062437,690.4039835472902,2.3481310188452553e7,-99.92012845893564
79,7.110476393176679e9,1881.1739437642884,339.07835634943956,886203.4623434885,-99.90282566840494
80,2.272376857917744e12,15314.053358744502,2865.282578289683,5.30793968880653e10,0.0
81,2.653767608335352e11,878.7020457926578,297.2381266874997,6.9314471821442265e6,-99.9897219102815
82,3.5127259357242035e11,1248.0760035960182,571.5644979307391,9.060855580435613e6,-99.98256476476031
83,1.5634328727531582e12,3014.2876945107355,417.56196933358854,1.3694639465854978e6,-99.99712412029349
84,1.8887750258429375e13,4990.332310023999,943.6190638996751,5.380713591098773e11,0.0
85,4.299561487424659e12,42333.096135611784,2496.899514807088,1.2015118038853098e11,0.0
86,2.3334440535426772e12,24924.883906580704,1013.0253574969217,5.340647818225155e10,0.0
87,2.3796586263970432e10,13909.006003043278,9453.028974695242,614928.0394325127,-99.99642412153058
88,2.0884405818723745e12,84153.89251151975,6868.892159931217,2.912484841402681e6,-99.9970747297387
89,2.678022028084229e9,849.4613517674784,14.504880507408323,945687.9602804041,-99.99094230066363
90,3.3452275055667377e9,8656.083210534543,509.2872300498742,1.1456910296237499e7,-99.4156314643571
91,3.399933128755613e11,3307.5689338362076,169.7220673219273,2.484619376930882e7,-99.94288534851357
92,9.14924772574393e9,12516.624039013004,245.62191240622028,2.5367870183995638e7,-99.03412713457001
93,3.103159547298206e12,964283.0389059241,17655.015084172028,8.124559474872513e10,0.0
94,8.722078594801472e11,917.9619825650111,125.43149189281985,4.509753909394372e6,-99.98251693824585
95,2.8103574934237384e11,827.5059448857289,213.9015179352402,4.797006301407146e6,-99.98848738482555
96,2.0993696779692184e10,905.937999964216,1420.0038926182294,222070.3307692969,-99.99945687418268
