variant_idx	variant_name	entry_idx	action	class	name	value_numeric	value_text	is_numeric
17	tissue3_v2	8	parameter	kBapop	Value	0.005	0.005	1
18	B cell migration	1	parameter	fBexit	Value	1	1	1
19	B cell proliferation	1	parameter	kBprolif	Value	0.02	0.02	1
20	human parameters	1	parameter	Vpb	Value	5000	5000	1
20	human parameters	2	parameter	Vtissue	Value	210	210	1
20	human parameters	3	parameter	Vtissue2	Value	400	400	1
20	human parameters	4	parameter	Vtissue3	Value	500	500	1
20	human parameters	5	parameter	Trpbref_perml	Value	500000	500000	1
20	human parameters	6	parameter	Trpbo_perml	Value	500000	500000	1
20	human parameters	7	parameter	Bpbref_perml	Value	500000	500000	1
20	human parameters	8	parameter	Bpbo_perml	Value	500000	500000	1
20	human parameters	9	parameter	KTrp	Value	200	200	1
20	human parameters	10	parameter	KBp	Value	333	333	1
20	human parameters	11	parameter	KTrp2	Value	190	190	1
20	human parameters	12	parameter	KBp2	Value	190	190	1
20	human parameters	13	parameter	KTrp3	Value	60	60	1
20	human parameters	14	parameter	KBp3	Value	80	80	1
20	human parameters	15	parameter	Cl_tdb	Value	1.5	1.5	1
21	human ALL parameters	1	parameter	Vpb	Value	5000	5000	1
21	human ALL parameters	2	parameter	Vtissue	Value	210	210	1
21	human ALL parameters	3	parameter	Vtissue2	Value	400	400	1
21	human ALL parameters	4	parameter	Vtissue3	Value	500	500	1
21	human ALL parameters	5	parameter	Trpbref_perml	Value	200000	200000	1
21	human ALL parameters	6	parameter	Trpbo_perml	Value	200000	200000	1
21	human ALL parameters	7	parameter	Bpbref_perml	Value	70000	70000	1
21	human ALL parameters	8	parameter	Bpbo_perml	Value	70000	70000	1
21	human ALL parameters	9	parameter	KTrp	Value	200	200	1
21	human ALL parameters	10	parameter	KBp	Value	333	333	1
21	human ALL parameters	11	parameter	KTrp2	Value	190	190	1
21	human ALL parameters	12	parameter	KBp2	Value	190	190	1
21	human ALL parameters	13	parameter	KTrp3	Value	60	60	1
21	human ALL parameters	14	parameter	KBp3	Value	80	80	1
21	human ALL parameters	15	parameter	Cl_tdb	Value	1.5	1.5	1
22	Blin parameters	1	parameter	KdrugactT_blin	Value	0.1	0.1	1
22	Blin parameters	2	parameter	ndrugactT_blin	Value	1	1	1
22	Blin parameters	3	parameter	KmBT_act_blin	Value	0.716	0.716	1
22	Blin parameters	4	parameter	KdrugB_blin	Value	0.15	0.15	1
22	Blin parameters	5	parameter	nkill_blin	Value	1.027	1.027	1
22	Blin parameters	6	parameter	KmTB_kill_blin	Value	0.75	0.75	1
23	human CLL parameters	1	parameter	Vpb	Value	5000	5000	1
23	human CLL parameters	2	parameter	Vtissue	Value	210	210	1
23	human CLL parameters	3	parameter	Vtissue2	Value	400	400	1
23	human CLL parameters	4	parameter	Vtissue3	Value	500	500	1
23	human CLL parameters	5	parameter	Trpbref_perml	Value	500000	500000	1
23	human CLL parameters	6	parameter	Trpbo_perml	Value	500000	500000	1
23	human CLL parameters	7	parameter	Bpbref_perml	Value	500000	500000	1
23	human CLL parameters	8	parameter	Bpbo_perml	Value	500000	500000	1
23	human CLL parameters	9	parameter	KTrp	Value	200	200	1
23	human CLL parameters	10	parameter	KBp	Value	333	333	1
23	human CLL parameters	11	parameter	KTrp2	Value	190	190	1
23	human CLL parameters	12	parameter	KBp2	Value	190	190	1
23	human CLL parameters	13	parameter	KTrp3	Value	60	60	1
23	human CLL parameters	14	parameter	KBp3	Value	80	80	1
23	human CLL parameters	15	parameter	Cl_tdb	Value	1.5	1.5	1
23	human CLL parameters	16	parameter	kBapop_cll	Value	0.1215	0.1215	1
24	act optimizn v22_2	1	parameter	fTaprolif	Value	2.106	2.106	1
24	act optimizn v22_2	2	parameter	kTaapop	Value	0.061	0.061	1
24	act optimizn v22_2	3	parameter	fTrapop	Value	0.2	0.2	1
24	act optimizn v22_2	4	parameter	fTa0apop	Value	2.019	2.019	1
24	act optimizn v22_2	5	parameter	fa0	Value	0.002	0.002	1
24	act optimizn v22_2	6	parameter	fAICD	Value	1.497	1.497	1
24	act optimizn v22_2	7	parameter	kTact	Value	9.828	9.828	1
24	act optimizn v22_2	8	parameter	fTadeact	Value	0.005	0.005	1
24	act optimizn v22_2	9	parameter	fTa0deact	Value	0.001	0.001	1
24	act optimizn v22_2	10	parameter	kBkill	Value	275.189	275.189	1
24	act optimizn v22_2	11	parameter	kTaexit	Value	0.123	0.123	1
24	act optimizn v22_2	12	parameter	KdrugactT	Value	130.083	130.083	1
24	act optimizn v22_2	13	parameter	KdrugB	Value	1.302	1.302	1
24	act optimizn v22_2	14	parameter	nkill	Value	1.027	1.027	1
24	act optimizn v22_2	15	parameter	KmBT_act	Value	0.716	0.716	1
24	act optimizn v22_2	16	parameter	fTap	Value	3.773	3.773	1
24	act optimizn v22_2	17	parameter	kBapop	Value	0.02	0.02	1
24	act optimizn v22_2	18	parameter	fdrug	Value	6.3839	6.3839	1
24	act optimizn v22_2	19	parameter	kTrexit	Value	0.045	0.045	1
24	act optimizn v22_2	20	parameter	finj	Value	1	1	1
24	act optimizn v22_2	21	parameter	kBprolif	Value	0.05	0.05	1
24	act optimizn v22_2	22	parameter	fBexit	Value	0.333	0.333	1
24	act optimizn v22_2	23	parameter	fBkill	Value	0.1	0.1	1
24	act optimizn v22_2	24	parameter	fTact	Value	0.25	0.25	1
24	act optimizn v22_2	25	parameter	fKmTB_kill	Value	10	10	1
24	act optimizn v22_2	26	parameter	S	Value	1.4	1.4	1
24	act optimizn v22_2	27	parameter	ndrugactT	Value	0.8	0.8	1
24	act optimizn v22_2	28	parameter	fapop_v24	Value	1	1	1
24	act optimizn v22_2	29	parameter	IL6_tiss_contribution	Value	0.003	0.003	1
25	human DLBCL parameters	1	parameter	Trpbref_perml	Value	500000	500000	1
25	human DLBCL parameters	2	parameter	Trpbo_perml	Value	500000	500000	1
25	human DLBCL parameters	3	parameter	Bpbref_perml	Value	250000	250000	1
25	human DLBCL parameters	4	parameter	Bpbo_perml	Value	250000	250000	1
26	Cyno PK Lin (GUI Fit - all values normalized)	1	parameter	Cl_tdb	Value	8.5	8.5	1
26	Cyno PK Lin (GUI Fit - all values normalized)	2	parameter	Cld_tdb	Value	24.17	24.17	1
26	Cyno PK Lin (GUI Fit - all values normalized)	3	parameter	Vc_tdb	Value	36.78	36.78	1
26	Cyno PK Lin (GUI Fit - all values normalized)	4	parameter	Vp_tdb	Value	173.47	173.47	1
26	Cyno PK Lin (GUI Fit - all values normalized)	5	parameter	Vm_tdb	Value	0	0	1
26	Cyno PK Lin (GUI Fit - all values normalized)	6	parameter	Km_tdb	Value	5.72	5.72	1
27	Human PK Lin (GUI Fit - all values normalized)	1	parameter	Cl_tdb	Value	5.4	5.4	1
27	Human PK Lin (GUI Fit - all values normalized)	2	parameter	Cld_tdb	Value	24.17	24.17	1
27	Human PK Lin (GUI Fit - all values normalized)	3	parameter	Vc_tdb	Value	36.78	36.78	1
27	Human PK Lin (GUI Fit - all values normalized)	4	parameter	Vp_tdb	Value	173.47	173.47	1
27	Human PK Lin (GUI Fit - all values normalized)	5	parameter	Vm_tdb	Value	0	0	1
27	Human PK Lin (GUI Fit - all values normalized)	6	parameter	Km_tdb	Value	5.72	5.72	1
27	Human PK Lin (GUI Fit - all values normalized)	7	parameter	kabs_TDB	Value	0	0	1
27	Human PK Lin (GUI Fit - all values normalized)	8	parameter	fbio_TDB	Value	0	0	1
28	Tumor compartment - DLBCL	1	parameter	tumor_on	Value	1	1	1
28	Tumor compartment - DLBCL	2	parameter	Vtumor	Value	100	100	1
28	Tumor compartment - DLBCL	3	parameter	KTrptumor	Value	100	100	1
28	Tumor compartment - DLBCL	4	parameter	KBptumor	Value	1600	1600	1
28	Tumor compartment - DLBCL	5	parameter	Kptumor	Value	0.05	0.05	1
28	Tumor compartment - DLBCL	6	parameter	kBtumorprolif	Value	0.025	0.025	1
28	Tumor compartment - DLBCL	7	parameter	IL6_tiss_contribution	Value	0.0004	0.0004	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	1	parameter	Cl_tdb	Value	5.4	5.4	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	2	parameter	Cld_tdb	Value	24.17	24.17	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	3	parameter	Vc_tdb	Value	36.78	36.78	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	4	parameter	Vp_tdb	Value	173.47	173.47	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	5	parameter	Vm_tdb	Value	0	0	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	6	parameter	Km_tdb	Value	5.72	5.72	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	7	parameter	kabs_TDB	Value	0.35	0.35	1
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	8	parameter	fbio_TDB	Value	0.5	0.5	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	1	parameter	Cl_tdb	Value	5.4	5.4	1
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	2	parameter	Cld_tdb	Value	24.17	24.17	1
