time,TDBc_ugperkg,TDBc_ugperml,Btumor,IL6combo
8.10367212822327,1.83805760128516,0.0499743774139522,75105515941.6445,1.04927816409454
9.01602216771698,1.74489149143724,0.047441312980893,74753179446.23,1.00044216901975
9.9283722072107,1.65704272490219,0.0450528201441596,74436241140.3655,0.954640175548098
10.8407222467044,1.57369669216133,0.0427867507384809,74156019752.4626,0.910998220384573
11.7530722861981,1.49462994633826,0.0406370295361135,73914855174.7966,0.8691729764719
12.6654223256918,1.41963115083651,0.0385979105719552,73715564793.1347,0.828976873027077
14.5459629248243,1.27677791074805,0.034713918182383,73449960970.3957,0.75083595048398
16.4265035239568,1.14828319231654,0.0312203151798952,73402312007.4928,0.677965031861303
18.3070441230893,1.03267574906035,0.0280771003007165,73599013648.0741,0.610552957144869
19.8224112189025,0.948027275796316,0.0257756192440543,73951597648.6665,0.560153090423395
21,0.887070261779786,0.0241182779167968,74352461497.6598,0.52341074942082
21,40.8870702617798,1.11166585812343,74352461497.6598,0.52341074942082
21.0004159073868,40.868886195268,1.1111714571851,74351988561.1625,0.666517135761024
21.0008318147735,40.8507103980836,1.11067728107894,74351511395.394,0.807215875762766
21.0012477221603,40.8325430410521,1.11018333444949,74351029933.3423,0.945501419688047
21.0037064392963,40.7253066014606,1.10726771618979,74348101910.9913,1.71940256107201
21.0061651564324,40.6183605843558,1.10435999413692,74345030420.7688,2.41991611928849
21.0086238735684,40.5117076760664,1.10146024132861,74341817463.0202,3.05372372725916
21.0110825907045,40.4053483191691,1.09856846979796,74338466055.1072,3.62777898760233
21.0165355126111,40.1705093345693,1.09218350556197,74330555016.8234,4.71726019751929
21.0219884345177,39.9371042425106,1.08583752698506,74322011656.8927,5.60231799787547
21.0274413564243,39.7051244830925,1.07953030133476,74312867022.5793,6.32997919447834
21.032894278331,39.4745614355715,1.07326159422435,74303149693.172,6.93504536066131
21.0383472002376,39.2454069068396,1.06703118289395,74292886401.9017,7.44348916366553
21.0449396246464,38.9702351469735,1.05954962335436,74279785377.2647,7.95680296548113
21.0515320490551,38.6970964084582,1.05212333900104,74265965896.7881,8.38478917368772
21.0581244734639,38.4259766666006,1.04475194852095,74251468065.7263,8.74726585799694
21.0647168978727,38.1568619479524,1.03743507199435,74236329622.1489,9.05851085662085
21.0713093222815,37.8897383613781,1.03017233173948,74220586130.8968,9.32899418775984
21.0811648063776,37.4940797613253,1.0194148929126,74195993305.1423,9.67310160803504
21.0910202904737,37.1027946571148,1.00877636370622,74170226870.5941,9.96205041557657
21.1008757745698,36.7158377065605,0.998255511325735,74143382499.1281,10.208270615353
